form	lemma	POS	morph
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཚིག་	ཚིག་	NOUN
བདུན་	བདུན་	NUM
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
ཀྱི་	གི་	PART
དམིགས་	དམིགས་	VERB
ཁྲིད་	ཁྲིད་	VERB
ཅུང་ཟད་	ཅུང་ཟད་	ADV
སྨོས་པ་	སྨོས་པ་	VERB
ཟབ་	ཟབ་	VERB
ལམ་	གམ་	PART
ཡོངས་རྫོགས་	ཡོངས་རྫོགས་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
མཛད་པ་པོ་	མཛད་པ་པོ་	VERB
།		PUNCT
		
སྐྱབས་རྗེ་	སྐྱབས་རྗེ་	OTHER
དིལ་		NON_WORD
མགོ་	མགོ་	NOUN
མཁྱེན་	མཁྱེན་	VERB
བཙེ་		NON_WORD
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
།		PUNCT
ན་མོ་	ན་མོ་	X
གུ་	གུ་	OTHER
ར་	ར་	ADP
ཝེ་		NON_WORD
།		PUNCT
སྤྱི་		
བདག་ཅག་	བདག་ཅག་	PRON
སྟོན་པ་	སྟོན་པ་	NOUN
མཉམ་མེད་	མཉམ་མེད་	ADJ
ཤཱཀྱའི་		NON_WORD
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
འཇུག་པ་	འཇུག་པ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཀྱི་	གི་	PART
མཁའ་	མཁའ་	VERB
དང་	དང་	NO_POS
གྲུབ་པ་	གྲུབ་པ་	VERB
བརྙེས་པ་	བརྙེས་པ་	VERB
འི་	གི་	PART
ཕྱག་སྲོལ་	ཕྱག་སྲོལ་	OTHER
དང་	དང་	NO_POS
གསུང་	གསུང་	VERB
གི་	གི་	PART
གསང་བ་	གསང་བ་	VERB
ལ་	ལ་	PART
ཆེ་བ་	ཆེ་བ་	VERB
དུ་མ་	དུ་མ་	ADJ
དང་	དང་	NO_POS
ལྡན་པ་	ལྡན་པ་	VERB
སྨོས་	སྨོས་	VERB
ཀྱིས་	གིས་	PART
མི་	མི་	PART
ལྡང་	ལྡང་	NO_POS
ཀྱང་	ཀྱང་	PART
རང་	རང་	PRON
རེ་	རེ་	DET
སྔ་	སྔ་	ADV
འགྱུར་	འགྱུར་	VERB
རྙིང་མ་བ་	རྙིང་མ་བ་	OTHER
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
ཆོས་སྤྱོད་	ཆོས་སྤྱོད་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཀྱི་	གི་	PART
ཐོག་མ་	ཐོག་མ་	NOUN
ར་	ལ་	PART
གུ་རུ་	གུ་རུ་	PROPN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
གསུང་	གསུང་	VERB
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
ཚིག་	ཚིག་	NOUN
བདུན་	བདུན་	NUM
མ་	མ་	PART
གསུང་པ་	གསུང་པ་	VERB
འདི་	འདི་	DET
དགོས་པ་	དགོས་པ་	VERB
མཆོག་ལྡན་	མཆོག་ལྡན་	OTHER
དུ་	ལ་	PART
མཐོང་	མཐོང་	VERB
ན་	ནས་	PART
དེ་	དེ་	DET
འི་	གི་	PART
དམིགས་	དམིགས་	VERB
ཁྲིད་	ཁྲིད་	VERB
མདོ་	མདོ་	NOUN
ཙམ་	ཙམ་	DET
ཞུ་	ཞུ་	VERB
ན་	ལ་	PART
།		PUNCT
ཧཱུྃ་		NON_WORD
༔		PUNCT
ཞེ་	ཅེས་	PART
སྐུ་གསུང་ཐུགས་	སྐུ་གསུང་ཐུགས་	NOUN
གཉིས་	གཉིས་	NUM
སུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྲོག་	སྲོག་	NOUN
གི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
འདི་	འདི་	DET
བརྗོད་པ་	བརྗོད་པ་	VERB
ས་	གིས་	PART
།		PUNCT
རང་	རང་	PRON
རེ་	རེ་	DET
འི་	གི་	PART
ཆོས་ལུགས་	ཆོས་ལུགས་	NOUN
ཀྱི་	གི་	PART
མཚན་	མཚན་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
གསང་སྔགས་	གསང་སྔགས་	NOUN
རྙིང་མ་བ་	རྙིང་མ་བ་	OTHER
ཞེ་	ཅེས་	PART
གྲགས་པ་	གྲགས་པ་	VERB
བཞིན་	བཞིན་	NOUN
སྒེར་	སྒེར་	OTHER
གྱི་	གི་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
ཕྱོགས་	ཕྱོགས་	NOUN
དུས་	དུས་	NOUN
སྲ་	སྲ་	NOUN
བཅའ་	བཅའ་	VERB
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཀྱི་	གི་	PART
ཉིན་བྱེད་	ཉིན་བྱེད་	NOUN
སྔགས་	སྔགས་	NOUN
ཀྱི་	གི་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
དུ་	ལ་	PART
བཞེངས་པ་	བཞེངས་པ་	VERB
གུ་རུ་	གུ་རུ་	PROPN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
འི་	གི་	PART
རྗེས་འཇུག་	རྗེས་འཇུག་	NOUN
གྱུར་པ་	གྱུར་པ་	VERB
འི་	གི་	PART
སྐལ་བཟང་	སྐལ་བཟང་	OTHER
གིས་	གིས་	PART
ལྟ་	ལྟ་	NOUN
སྒོམ་	སྒོམ་	VERB
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
གྱི་	གི་	PART
གཙོ་བོ་	གཙོ་བོ་	ADJ
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཐེག་པ་	ཐེག་པ་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
བླ་མེད་	བླ་མེད་	ADJ
ཀྱི་	གི་	PART
གཞུང་བསྲངས་	གཞུང་བསྲངས་	NO_POS
ན་	ནས་	PART
མདོ་སྔགས་	མདོ་སྔགས་	NOUN
ཡོངས་རྫོགས་	ཡོངས་རྫོགས་	OTHER
དེ་	དེ་	DET
འི་	གི་	PART
ལམ་	གམ་	PART
སྟེགས་	སྟེགས་	NOUN
སུ་	ལ་	PART
བཀྲལ་	བཀྲལ་	NO_POS
ཏེ་	སྟེ་	PART
མི་འགལ་བ་	མི་འགལ་བ་	NO_POS
ར་	ལ་	PART
ཉམས་	ཉམས་	NOUN
སུ་	ལ་	PART
ལེན་	ལེན་	VERB
དགོས་པ་	དགོས་པ་	VERB
འི་	གི་	PART
གནད་དོན་	གནད་དོན་	OTHER
མཚོན་བྱེད་	མཚོན་བྱེད་	OTHER
ཡིན་པ་	ཡིན་པ་	AUX
ཁོང་	ཁོང་	PRON
དུ་	ལ་	PART
ཆུད་པ་	ཆུད་པ་	VERB
འི་	གི་	PART
ཆེ་བ་	ཆེ་བ་	VERB
ངོ་	གོ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཐུགས་	ཐུགས་	NOUN
སྲོག་	སྲོག་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
ཀྱི་	གི་	PART
སྒྲ་གདངས་	སྒྲ་གདངས་	NOUN
བརྗོད་	བརྗོད་	VERB
མ་	མ་	PART
ཐག་	ཐག་	VERB
སྣང་གྲག་	སྣང་གྲག་	PROPN
རིག་པ་	རིག་པ་	VERB
བསྒྲུབ་བྱ་	བསྒྲུབ་བྱ་	VERB
འི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
དེ་	དེ་	DET
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
སྣང་	སྣང་	VERB
ཆ་	ཆ་	NOUN
སད་པ་	སད་པ་	VERB
འི་	གི་	PART
མོས་གུས་	མོས་གུས་	NOUN
ཀྱིས་	གིས་	PART
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ལྷང་	ལྷང་	NOUN
གིས་	གིས་	PART
དྲན་པ་	དྲན་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
ཏེ་	སྟེ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་པ་	འདེབས་པ་	VERB
ནི་	ནི་	NO_POS
ལམ་	གམ་	PART
གནད་	གནད་	NOUN
ཆེ་	ཆེ་	VERB
ཤོ་	ཤོ་	VERB
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཐེག་པ་	ཐེག་པ་	NOUN
དག་སྣང་	དག་སྣང་	NOUN
ལམ་	གམ་	PART
བྱེད་	བྱེད་	VERB
དུ་	ལ་	PART
གྲགས་པ་	གྲགས་པ་	VERB
བཞིན་	བཞིན་	NOUN
སྣང་	སྣང་	VERB
སྤྱོད་	སྤྱོད་	VERB
ཐ་མལ་	ཐ་མལ་	ADJ
དུ་མ་	དུ་མ་	ADJ
ཤོར་བ་	ཤོར་བ་	VERB
།		PUNCT
སྣོད་བཅུད་	སྣོད་བཅུད་	NOUN
རྒྱུད་	རྒྱུད་	NOUN
གསུམ་	གསུམ་	NUM
གདན་	གདན་	NOUN
གསུམ་	གསུམ་	NUM
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
གྲོང་ཁྱེར་	གྲོང་ཁྱེར་	NOUN
དུ་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
མདོ་	མདོ་	NOUN
དང་	དང་	NO_POS
སྒོ་	སྒོ་	NOUN
བསྟུན་པ་	བསྟུན་པ་	VERB
འི་	གི་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཕལ་པོ་	ཕལ་པོ་	NOUN
ཆེ་	ཆེ་	VERB
སྤྱོད་ཡུལ་	སྤྱོད་ཡུལ་	NOUN
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
མདོ་སྡེ་	མདོ་སྡེ་	NOUN
ལས་བྱང་	ལས་བྱང་	OTHER
ཆུབ་	ཆུབ་	VERB
སེམས་དཔ་	སེམས་དཔའ་	NOUN
ས་	གིས་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀྱི་	གི་	PART
ཞིང་	ཅིང་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
སྦྱངས་བ་	སྦྱངས་བ་	VERB
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
གྱིས་	གིས་	PART
གསུངས་པ་	གསུངས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དོན་གནད་	དོན་གནད་	OTHER
ཀྱང་	ཀྱང་	PART
ཚང་	ཚང་	VERB
ཞིང་	ཅིང་	PART
ཨུ་རྒྱན་	ཨུ་རྒྱན་	PROPN
ཡུལ་	ཡུལ་	NOUN
གྱི་	གི་	PART
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
མང་པོ་	མང་པོ་	ADJ
ས་	གིས་	PART
བསྐོར་	བསྐོར་	VERB
༔		PUNCT
ཞེ་	ཅེས་	PART
ཛམ་		NON_WORD
གླིང་	གླིང་	NOUN
གདུལ་བྱ་	གདུལ་བྱ་	NOUN
འི་	གི་	PART
བསོད་ནམས་	བསོད་ནམས་	NOUN
ཀྱི་	གི་	PART
སྐལ་པ་	སྐལ་པ་	NOUN
ར་	ལ་	PART
ལྷོ་ནུབ་	ལྷོ་ནུབ་	NO_POS
འོ་མ་	འོ་མ་	NOUN
ཅན་	ཅན་	PART
གྱི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ར་	ལ་	PART
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
ཀུན་	ཀུན་	DET
འདུ་	འདུ་	VERB
གུ་རུ་	གུ་རུ་	PROPN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
སྐུ་	སྐུ་	NOUN
འཁྲུངས་	འཁྲུངས་	NO_POS
ན་	ནས་	PART
སྐུ་ཚེ་	སྐུ་ཚེ་	NOUN
གཅིག་	གཅིག་	NUM
གི་	གི་	PART
མཛད་པ་	མཛད་པ་	VERB
ཐུན་མོང་	ཐུན་མོང་	ADJ
གི་	གི་	PART
གདུལ་བྱ་	གདུལ་བྱ་	NOUN
འི་	གི་	PART
སྣང་	སྣང་	VERB
ཆར་རྡོ་	ཆར་རྡོ་	NO_POS
རྗེ་	རྗེ་	NO_POS
ཐེག་པ་	ཐེག་པ་	NOUN
གསང་སྔགས་	གསང་སྔགས་	NOUN
ཀྱི་	གི་	PART
ལམ་	གམ་	PART
དང་	དང་	NO_POS
རྗེས་སུ་	རྗེས་སུ་	OTHER
མཐུན་པ་	མཐུན་པ་	VERB
རིག་འཛིན་	རིག་འཛིན་	OTHER
རྣམ་	རྣམ་	NOUN
བཞི་	བཞི་	NUM
འི་	གི་	PART
སྤང་	སྤང་	VERB
རྟོགས་	རྟོགས་	VERB
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
རྫོགས་	རྫོགས་	VERB
ན་	ནས་	PART
སྔགས་	སྔགས་	NOUN
ཀྱི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
ལུང་	ལུང་	NOUN
མན་ངག་	མན་ངག་	NOUN
ལ་	ལ་	PART
རིག་པ་	རིག་པ་	VERB
རྩལ་	རྩལ་	NOUN
